 1147745 af_BDS
 1147707 af_BDG
 1147288 af_BAL
 1142263 af_FRA
 1142226 af_FYB
 1141103 af_GHO
 1140043 af_HEL
 1140025 af_HER
 1138957 af_KAB
 1131257 af_PIA
 1121863 af_WAR
*1147537 af_BGL
*1147239 af_BAM
*1141268 af_GHA
*1139049 af_JOW
*1138335 af_KAN
*1138255 af_KAP
*1135690 af_KHO
*1135702 af_KNR
*1135690 af_KDZ
*1135022 af_LAG
*1134561 af_LOW
*1132366 af_NAN
*1131821 af_NIM
*1444363 af_NUR
*1131461 af_ORU
*1131256 af_PKA
*1131054 af_PAR
*1127766 af_SAM
*1127106 af_SAR
*1123230 af_TAK
*1121143 af_ZAB
