 1808773 cn_13
 2036115 cn_21
 1811017 cn_35
 1806949 cn_42
 1806691 cn_43
 1809054 cn_46
 1785694 cn_53
 1796480 cn_61
*2038349 cn_11 
*1792943 cn_12
*1795912 cn_14
*2035607 cn_15
*2036500 cn_22
*2036965 cn_23
*1796231 cn_31
*1806260 cn_32 
*1784764 cn_33
*1818058 cn_34
*1806222 cn_36
*1796328 cn_37
*1808520 cn_41
*1809935 cn_44 
*1809867 cn_45
*1794299 cn_51
*1809445 cn_52
*1279685 cn_54
*1810676 cn_62
*1280239 cn_63
*1799355 cn_64
*1529047 cn_65 
******** cn_71  :::  Taiwan ~ Tianjin Shi(1792943)
******** cn_91  :::  Xianggang ~ Henan(1808520)
******** cn_92  :::  Aomen ~ Anhui(1818058)
*1814905 cn_9
******** cn_98  :::  Gaoxiong ~ Gansu(1810676)
******** cn_99  :::  Taibei ~ Tianjin Shi(1792943)
