id,issue_id,issue_text,issue_category_l1,issue_category_l2,issue_category_l3,vote_answer_id,vote_answer_text,vote_increment,current_vote_flag,vote_timestamp,userid,gender,zip,country,state,city,religion,ethnicity,income,marital,education,sorient,age,left_right,lib_auth,radic_cons,dove_hawk
"12-131-265","131","Do you want world peace",Politics & Law,International,,"265","Yes",1,"1","2013/03/11 17:28:41","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"12-131-265","131","Do you want world peace",Politics & Law,Ideology,,"265","Yes",1,"1","2013/03/11 17:28:41","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"12-131-265","131","Do you want world peace",Society,,,"265","Yes",1,"1","2013/03/11 17:28:41","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"1-131-265","131","Do you want world peace",Politics & Law,International,,"265","Yes",1,"1","2013/03/11 17:42:49","50347a3f14aea923e9f8eac867fd3bb1","Male","630090","ru","Новосибирская Область","Новосибирск","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","3","3"
"1-131-265","131","Do you want world peace",Politics & Law,Ideology,,"265","Yes",1,"1","2013/03/11 17:42:49","50347a3f14aea923e9f8eac867fd3bb1","Male","630090","ru","Новосибирская Область","Новосибирск","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","3","3"
"1-131-265","131","Do you want world peace",Society,,,"265","Yes",1,"1","2013/03/11 17:42:49","50347a3f14aea923e9f8eac867fd3bb1","Male","630090","ru","Новосибирская Область","Новосибирск","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","3","3"
"13-131-265","131","Do you want world peace",Politics & Law,International,,"265","Yes",1,"1","2013/03/17 07:16:10","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"13-131-265","131","Do you want world peace",Politics & Law,Ideology,,"265","Yes",1,"1","2013/03/17 07:16:10","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"13-131-265","131","Do you want world peace",Society,,,"265","Yes",1,"1","2013/03/17 07:16:10","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"8-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Domestic,Civil Rights,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 11:14:13","9700a7c606a1a261072005431043126b","Male","h2t2n1","ca","Quebec","Plateau Mont-Royal West","undefined","Caucasian","$40,000 - $69,999","Single","University","Straight","31-50","3","3","3","3"
"8-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Ideology,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 11:14:13","9700a7c606a1a261072005431043126b","Male","h2t2n1","ca","Quebec","Plateau Mont-Royal West","undefined","Caucasian","$40,000 - $69,999","Single","University","Straight","31-50","3","3","3","3"
"8-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Society,Access to Information,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 11:14:13","9700a7c606a1a261072005431043126b","Male","h2t2n1","ca","Quebec","Plateau Mont-Royal West","undefined","Caucasian","$40,000 - $69,999","Single","University","Straight","31-50","3","3","3","3"
"12-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Domestic,Civil Rights,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 13:22:55","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"12-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Ideology,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 13:22:55","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"12-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Society,Access to Information,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/24 13:22:55","a40200e5eec7331ba4339152de5421b3","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","undefined","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Domestic,Civil Rights,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 06:46:03","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Ideology,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 06:46:03","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Society,Access to Information,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 06:46:03","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-131-265","131","Do you want world peace",Politics & Law,International,,"265","Yes",1,"1","2013/03/26 06:46:10","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-131-265","131","Do you want world peace",Politics & Law,Ideology,,"265","Yes",1,"1","2013/03/26 06:46:10","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-131-265","131","Do you want world peace",Society,,,"265","Yes",1,"1","2013/03/26 06:46:10","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"13-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Domestic,Civil Rights,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 08:58:19","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"13-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Ideology,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 08:58:19","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"13-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Society,Access to Information,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 08:58:19","75d86fccddcd5aa32b4563a8e9befdf9","Male","H2S3A7","ca","undefined","Petite-Patrie Southwest","Jewish","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Domestic,Civil Rights,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 19:16:18","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Politics & Law,Ideology,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 19:16:18","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-132-260","132","Should the Canadian Federal Government be able to control how government-employed scientists communicate with media and the public",Society,Access to Information,,"260","No, scientists must be able to speak openly and freely about their work.",1,"1","2013/03/26 19:16:18","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-131-265","131","Do you want world peace",Politics & Law,International,,"265","Yes",1,"1","2013/03/26 19:16:25","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-131-265","131","Do you want world peace",Politics & Law,Ideology,,"265","Yes",1,"1","2013/03/26 19:16:25","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"15-131-265","131","Do you want world peace",Society,,,"265","Yes",1,"1","2013/03/26 19:16:25","a451e4e02f0b4daff35e0035766e3cf5","Female","H2R2A7","ca","undefined","Villeray Southeast","Other","Caucasian","undefined","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-134-264","134","Should polygamy be allowed",Society,Religion,,"264","Yes",1,"1","2013/03/27 13:07:15","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-134-264","134","Should polygamy be allowed",Society,Gender,,"264","Yes",1,"1","2013/03/27 13:07:15","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-134-264","134","Should polygamy be allowed",Society,Family values,,"264","Yes",1,"1","2013/03/27 13:07:15","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-133-406","133","Should contracts be revoked during a commission that hasn't been resolved yet",Politics & Law,Domestic,,"406","No",1,"1","2013/03/27 13:08:26","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
"14-133-406","133","Should contracts be revoked during a commission that hasn't been resolved yet",Politics & Law,Economic,,"406","No",1,"1","2013/03/27 13:08:26","c68c5550695d312f43c3a1621f38dd2a","Female","H2R 2A6","ca","undefined","Villeray Southeast","Other","Caucasian","$40,000 - $69,999","Single","Masters Degree","Straight","31-50","3","3","3","3"
